num_gov,mp_id,nome,cargo,data_inicio,data_fim
11,335,"Arlindo Cunha","Ministro da Agricultura, Pescas e Alimentação",1990-01-05,1991-10-30
11,9,"Álvaro Barreto","Ministro da Agricultura, Pescas e Alimentação",1987-08-17,1990-01-05
11,348,"Luís Mira Amaral","Ministro da Indústria e Energia",1987-08-17,1991-10-30
11,,"Roberto Carneiro","Ministro da Educação",1987-08-17,1991-10-30
11,287,"Joaquim Ferreira do Amaral","Ministro das Obras Públicas, Transportes e Comunicações",1990-11-09,1991-10-30
11,69,"João Maria Oliveira Martins","Ministro das Obras Públicas, Transportes e Comunicações",1987-08-17,1990-11-09
11,335,"Arlindo de Carvalho","Ministro da Saúde",1990-01-05,1991-10-30
11,114,"Leonor Beleza","Ministro da Saúde",1987-08-17,1990-01-05
11,270,"José Silva Peneda","Ministro do Emprego e da Segurança Social",1987-08-17,1991-10-30
11,,"Fernando Faria de Oliveira","Ministro do Comércio e Turismo",1990-11-09,1991-10-30
11,287,"Joaquim Ferreira do Amaral","Ministro do Comércio e Turismo",1987-08-17,1990-11-09
11,356,"António Couto dos Santos","Ministro Adjunto da Juventude",1987-08-17,1991-10-30
11,,"Carlos Borrego","Ministro do Ambiente e Recursos Naturais",1991-04-24,1991-10-30
11,,"Fernando Real","Ministro do Ambiente e Recursos Naturais",1990-01-05,1991-10-30
11,,"Duarte Ivo Cruz","Subsecretário de Estado Adjunto do Ministro dos Negócios Estrangeiros",1990-03-05,1991-10-30
11,1239,"Luís Marques Guedes","Subsecretário de Estado da Presidência do Conselho de Ministros",1990-01-09,1991-10-30
11,,"Isabel Corte Real","Subsecretário de Estado da Modernização Administrativa",1989-01-31,1991-10-30
12,312,"Aníbal Cavaco Silva","Primeiro-Ministro",1991-10-31,1995-10-27
12,370,"Luís Marques Mendes","Ministro Adjunto",1992-03-19,1995-10-27
12,356,"António Couto dos Santos","Ministro Adjunto e dos Assuntos Parlamentares",1991-10-31,1992-03-19
12,333,"Fernando Nogueira","Ministro da Presidência",1991-10-31,1995-10-27
12,1441,"António Figueiredo Lopes","Ministro da Defesa Nacional",1995-03-16,1995-10-27
12,333,"Fernando Nogueira","Ministro da Defesa Nacional",1991-10-31,1995-03-16
12,300,"Manuel Dias Loureiro","Ministro da Administração Interna",1991-10-31,1995-10-27
12,,"Eduardo Catroga","Ministro das Finanças",1993-12-07,1995-10-27
12,,"Jorge Braga de Macedo","Ministro das Finanças",1991-10-31,1993-12-07
12,376,"Luís Valente de Oliveira","Ministro do Planeamento e Administração do Território",1991-10-31,1995-10-27
12,306,"Álvaro Laborinho Lúcio","Ministro da Justiça",1991-10-31,1995-10-27
12,383,"José Manuel Durão Barroso","Ministro dos Negócios Estrangeiros",1992-11-12,1995-10-27
12,334,"João de Deus Pinheiro","Ministro dos Negócios Estrangeiros",1991-10-31,1992-11-12
12,,"António Duarte Silva","Ministro da Agricultura",1994-05-21,1995-10-27
12,335,"Arlindo Cunha","Ministro da Agricultura",1991-10-31,1994-05-21
12,,"António Duarte Silva","Ministro do Mar",1995-03-16,1995-10-27
12,,"Eduardo Azevedo Soares","Ministro do Mar",1991-10-31,1995-03-16
12,348,"Luís Mira Amaral","Ministro da Indústria e Energia",1991-10-31,1995-10-27
12,319,"Manuela Ferreira Leite","Ministro da Educação",1993-12-07,1995-10-27
